hub_id,hour,mu_init,sigma_init,mu_target,sigma_target
Berlin_Alt_Tempelhof,0,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,1,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,2,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,3,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,4,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,5,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,6,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,7,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,8,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,9,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,10,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,11,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,12,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,13,0.2209,0.1739,0.9865,0.0301
Berlin_Alt_Tempelhof,14,0.207,0.078,0.9571,0.0959
Berlin_Alt_Tempelhof,15,0.2486,0.1444,0.9807,0.0315
Berlin_Alt_Tempelhof,16,0.3091,0.1419,0.9744,0.1117
Berlin_Alt_Tempelhof,17,0.322,0.1391,0.9726,0.0567
Berlin_Alt_Tempelhof,18,0.2784,0.1226,0.9729,0.0888
Berlin_Alt_Tempelhof,19,0.2913,0.1317,0.9864,0.0382
Berlin_Alt_Tempelhof,20,0.2419,0.1465,0.9786,0.0496
Berlin_Alt_Tempelhof,21,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,22,0.2817,0.1384,0.9773,0.0649
Berlin_Alt_Tempelhof,23,0.2817,0.1384,0.9773,0.0649
Berlin_Danzinger,0,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,1,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,2,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,3,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,4,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,5,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,6,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,7,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,8,0.2869,0.1288,0.9795,0.0552
Berlin_Danzinger,9,0.2869,0.1288,0.9795,0.0552
