hub_id,hour,n_sessions,mu_init,sigma_init,mu_target,sigma_target,source
Berlin_Alt_Tempelhof,9,0,0.2817,0.1384,0.9773,0.0649,interpolated
Berlin_Alt_Tempelhof,10,0,0.2817,0.1384,0.9773,0.0649,interpolated
Berlin_Alt_Tempelhof,11,0,0.2817,0.1384,0.9773,0.0649,interpolated
Berlin_Alt_Tempelhof,12,1,0.2817,0.1384,0.9773,0.0649,fallback_hub (n=1)
Berlin_Alt_Tempelhof,13,5,0.2209,0.1739,0.9865,0.0301,empirical
Berlin_Alt_Tempelhof,14,5,0.207,0.078,0.9571,0.0959,empirical
Berlin_Alt_Tempelhof,15,10,0.2486,0.1444,0.9807,0.0315,empirical
Berlin_Alt_Tempelhof,16,19,0.3091,0.1419,0.9744,0.1117,empirical
Berlin_Alt_Tempelhof,17,54,0.322,0.1391,0.9726,0.0567,empirical
Berlin_Alt_Tempelhof,18,45,0.2784,0.1226,0.9729,0.0888,empirical
Berlin_Alt_Tempelhof,19,61,0.2913,0.1317,0.9864,0.0382,empirical
Berlin_Alt_Tempelhof,20,33,0.2419,0.1465,0.9786,0.0496,empirical
Berlin_Alt_Tempelhof,21,3,0.2817,0.1384,0.9773,0.0649,fallback_hub (n=3)
Berlin_Alt_Tempelhof,22,1,0.2817,0.1384,0.9773,0.0649,fallback_hub (n=1)
Berlin_Alt_Tempelhof,23,0,0.2817,0.1384,0.9773,0.0649,interpolated
Berlin_Danzinger,9,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,10,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,11,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,12,1,0.2869,0.1288,0.9795,0.0552,fallback_hub (n=1)
Berlin_Danzinger,13,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,14,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,15,1,0.2869,0.1288,0.9795,0.0552,fallback_hub (n=1)
Berlin_Danzinger,16,2,0.2869,0.1288,0.9795,0.0552,fallback_hub (n=2)
Berlin_Danzinger,17,3,0.2869,0.1288,0.9795,0.0552,fallback_hub (n=3)
Berlin_Danzinger,18,5,0.3422,0.1462,1.0,0.01,empirical
Berlin_Danzinger,19,4,0.2869,0.1288,0.9795,0.0552,fallback_hub (n=4)
Berlin_Danzinger,20,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,21,1,0.2869,0.1288,0.9795,0.0552,fallback_hub (n=1)
Berlin_Danzinger,22,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Danzinger,23,0,0.2869,0.1288,0.9795,0.0552,interpolated
Berlin_Friedhof,9,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,10,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,11,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,12,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,13,1,0.3436,0.1221,0.9743,0.0516,fallback_hub (n=1)
Berlin_Friedhof,14,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,15,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,16,1,0.3436,0.1221,0.9743,0.0516,fallback_hub (n=1)
Berlin_Friedhof,17,5,0.3434,0.1614,0.9736,0.0591,empirical
Berlin_Friedhof,18,3,0.3436,0.1221,0.9743,0.0516,fallback_hub (n=3)
Berlin_Friedhof,19,6,0.2864,0.085,0.993,0.0172,empirical
Berlin_Friedhof,20,1,0.3436,0.1221,0.9743,0.0516,fallback_hub (n=1)
Berlin_Friedhof,21,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,22,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Friedhof,23,0,0.3436,0.1221,0.9743,0.0516,interpolated
Berlin_Hansaplatz,9,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,10,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,11,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,12,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,13,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,14,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,15,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,16,0,0.2744,0.1083,0.9787,0.0678,interpolated
Berlin_Hansaplatz,17,4,0.2744,0.1083,0.9787,0.0678,fallback_hub (n=4)
Berlin_Hansaplatz,18,9,0.2615,0.1138,0.998,0.01,empirical
